fontTitleLarge,google-symbols,bYkqId,wNNZR,hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),doJOZc,W4Efsd (3),W4Efsd (4),W4Efsd (5),FQ2IWe src,Jn12ke src,ah5Ghc,ah5Ghc (2),ah5Ghc (3),W4Efsd (7),ah5Ghc (4),ah5Ghc (5),ah5Ghc (6),ah5Ghc (7)
,,,,https://www.google.com/maps/place/%E5%BB%BA%E6%88%90%E5%85%AC%E5%9C%92+%E5%85%B1%E8%9E%8D%E5%BC%8F%E5%85%92%E7%AB%A5%E9%81%8A%E6%88%B2%E5%A0%B4/data=!4m7!3m6!1s0x3442a96be82ba2e5:0x1dbb30e48869394d!8m2!3d25.0544734!4d121.5190828!16s%2Fg%2F11f3v7jzp4!19sChIJ5aIr6GupQjQRTTlpiOQwux0?authuser=0&hl=zh-TW&rclk=1,建成公園 共融式兒童遊戲場,4.5,(696),遊樂場,·,,·,赤峰街35號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw0bUoht1aDM0irH3uXw4pnlZcNO9bVzCDxC-0vDokiqLsZ2teNE0c40QlqlJyYLdDbfEiWjPNK39H4gaZt2NTy_RK7nJRs-evcRL-NsFodKR7EfkzAUSAKFzmNEKMtqD-Gu1Y=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園,寬廣又有不同,,溜滑梯,"&翹翹板很適合陪老人散步&小孩遊玩""",,
,,,,https://www.google.com/maps/place/%E7%A6%8F%E6%98%9F%E5%85%AC%E5%9C%92%EF%BC%88%E5%8C%97%E6%8A%95%EF%BC%89/data=!4m7!3m6!1s0x3442af0b9d244887:0x2079123ca966ed32!8m2!3d25.108853!4d121.512375!16s%2Fg%2F11sqh577cb!19sChIJh0gknQuvQjQRMu1mqTwSeSA?authuser=0&hl=zh-TW&rclk=1,福星公園（北投）,4.6,(356),公園,·,,·,文林北路255號福興公園,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvu-lEVqO_vYhZzyl1Wc1bmaJDRBfnbJeANS_W38BVq9Sddu2M-9HqJ7iPqKEOhxXoQjoQJBGCAIyEOfB5Mwgi9ENzX2xv3L9KV4oBsnxOpgoOLLHJAImBkpynu-6vbUx-AEkFwg=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""有一般別處",公園,"，沒有的高空滑索道，小孩超愛""",,,,,
,,,,https://www.google.com/maps/place/%E6%9D%B1%E6%98%87%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x34681d1a153ab4f1:0x892143c0af2084f1!8m2!3d24.9847232!4d121.414824!16s%2Fg%2F11f30hhlsr!19sChIJ8bQ6FRodaDQR8YQgr8BDIYk?authuser=0&hl=zh-TW&rclk=1,東昇公園,4.3,(919),公園,·,,·,復興路395號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzHQR0CPWeic7OcsibwJCB8EaMxOziztehcL5wzKvK2nlCvvPerfOzjJawohLCPDMIbIpODIvLxxit3RQvJlrTsy-kpGGQHOG0QodBx8F5CKdeaq8iuzI-fFX1dJ-FC1eiUgXhE=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""停車場：附近平面收費停車場
廁所:有",#,公園踩,提供完善遊樂設施的公園,"點
#","溜滑梯解鎖計畫🛝""",,
,,,,https://www.google.com/maps/place/%E6%96%B0%E8%88%88%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442afaded86ad9d:0xcb11c0b14e625163!8m2!3d25.1393807!4d121.487372!16s%2Fg%2F1tcz60bq!19sChIJna2G7a2vQjQRY1FiTrHAEcs?authuser=0&hl=zh-TW&rclk=1,新興公園,4.0,(220),城市公園,·,,·,新興路,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEXF3ZW2TPJ6cZAK5cC1nMpwb2j-Sg4qdVxUkwflCcL4bOCDIDAIWmCTNNiUO23dehIz3t6RX_gXCEe7g0ylgivySkNl61m_i5adwwJzFHFZU_G5LGSHtRn8OIAGF9vAUvb2Becg=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""地點好 有水用 已經贏了
有個被關",禁閉的,"溜滑梯""",,,,,
,,,,https://www.google.com/maps/place/%E9%A0%AD%E5%89%8D%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92%E5%85%92%E7%AB%A5%E9%81%8A%E6%88%B2%E5%A0%B4/data=!4m7!3m6!1s0x3442a9392cb476d1:0xf6f23317cf81d631!8m2!3d25.051748!4d121.4634332!16s%2Fg%2F11sr6l6h3z!19sChIJ0Xa0LDmpQjQRMdaBzxcz8vY?authuser=0&hl=zh-TW&rclk=1,頭前運動公園兒童遊戲場,4.7,(83),公園,·,,·,頭前路119號號旁,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlexbR_GPUO_QPVPrVBp1VSUmCWuVts0efLQecWGUg2YHthGwdqsgykMSVL0O5NnHj2SuxL26mPsmOEuX1sviU8LmGtDBeRRBIQWHkOeRqdR75R9azDt67Ve8DzP8mIpvUWd_JeQ=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""有些器材維修中，剩下沙坑石頭和",溜滑梯,"可玩""",,,,,
,,,,https://www.google.com/maps/place/%E5%93%A1%E5%B1%B1%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a82806df060b:0xe53c2c502e526435!8m2!3d25.004132!4d121.480082!16s%2Fg%2F1q62dfwhm!19sChIJCwbfBiioQjQRNWRSLlAsPOU?authuser=0&hl=zh-TW&rclk=1,員山公園,4.4,"(3,372)",城市公園,·,,·,員山路455巷,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynxGO7HWAD_I9YDkyyzymC8CUVV-ViIw6S1XQ1xUrbGiiwE4UBAiXIEmsF7iHDc_yHar9B7VeEHjU6IAiGMlAQITl-BntpHUgZvW1UmpaLl2tNfyWnijHkyzZGzURz3N_tssWG=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""長長的",溜滑梯,也超好玩的，大人小孩都可以玩的很開心的,,公園,"👍""",,
,,,,https://www.google.com/maps/place/%E7%AB%8B%E5%BE%B7%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a6d9b94407a9:0x79880c0957ac5382!8m2!3d25.0762092!4d121.3673208!16s%2Fg%2F11b7tycgny!19sChIJqQdEudmmQjQRglOsVwkMiHk?authuser=0&hl=zh-TW&rclk=1,立德公園,4.0,(263),公園,·,,·,仁愛二路,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzvxPeMw3PWxhK6vzGinhvjR3bYBu1qSkwULr1gdnFQSW0TASIpdCkgNDKzYYtN5_WH3p8cfXQ-4tJ6lwrzCPFzCQmvK4o4mXPE8xxouJplNdtbGQiuNXolh45RGs7rtH5MANY6=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""2023/03
小巧的鄰里",公園,，有籃球場、,,溜滑梯,"跟涼亭。""",,
,,,,https://www.google.com/maps/place/%E5%85%AC%E9%A4%A8%E6%B0%B8%E7%A6%8F%E6%A9%8B%E4%B8%8B%E6%BA%9C%E6%BB%91%E6%A2%AF/data=!4m7!3m6!1s0x3442a9f2fc7fe455:0xe08d14065ec97054!8m2!3d25.0115259!4d121.528083!16s%2Fg%2F11gf97bsws!19sChIJVeR__PKpQjQRVHDJXgYUjeA?authuser=0&hl=zh-TW&rclk=1,公館永福橋下溜滑梯,4.0,(400),遊樂場,·,,·,永福橋,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO8buFmWZSYgUAy3osGVmdutmHKd32JAGLpz1xF4xBSMeHMr6FOwLsOarZ5ESJw7DA0cDUKqNuZR0tmQvoQPbd-cwaASQIFDwoMOdYow1vOZjoNgChEZkORirR0iDvxc52ALgp=w80-h119-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""小朋友玩樂的地方，超長的石子",溜滑梯,"""",,,,,
,,,,https://www.google.com/maps/place/%E6%96%B0%E5%8C%97%E5%A4%A7%E9%83%BD%E6%9C%83%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a8fac6152a05:0x3821847e329dcd64!8m2!3d25.055464!4d121.4807459!16s%2Fg%2F155r_tss!19sChIJBSoVxvqoQjQRZM2dMn6EITg?authuser=0&hl=zh-TW&rclk=1,新北大都會公園,4.6,"(15,927)",公園,·,,·,水漾路一段,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2i9UExLWLiPyPyU3WrSVNmpJliOpaX8p4FSrjTitB4cVIRuZnzwR4Rb66-0iH2RWB3PMMrulFHk82bRTWW5JGSBedD76phtccXXf-EstP0d0vgDhgHWfHgMZiBm5UFj8_RY3j-Q=w136-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園,裏有好幾個長長的,有遼闊的草坪、自行車道與巨型溜滑梯,溜滑梯,"供小朋友玩，也有很多各種設施，也有公共廁所。""",,
,,,,https://www.google.com/maps/place/%E6%9E%97%E5%8F%A3%E8%B6%B3%E5%A4%A2%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a7bfe9542aa3:0xe8c94584c646622c!8m2!3d25.0754152!4d121.3959432!16s%2Fg%2F11rqx170mn!19sChIJoypU6b-nQjQRLGJGxoRFyeg?authuser=0&hl=zh-TW&rclk=1,林口足夢運動公園,4.4,(114),公園,·,,·,仁愛路一段粉寮路一段交叉口,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwj08KnG_G8LDCMu1tzqGWJKwjPa0EmAWHgRplAxOyXWi49ug5cqUJDxj-vL-PttxeXh8slSm6XwumihJRnX7ovu5x8oUyf38zDsf_yb733r8tABTvyJBQea3kBhUNqafpjr017=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""有",溜滑梯,"，籃球場，兒童足球場，草地，建議運動設施，有兩三處洗手洗腳池。""",,,,,
,,,,https://www.google.com/maps/place/%E8%88%9E%E8%9D%B6%E5%85%B1%E8%9E%8D%E9%81%8A%E6%88%B2%E5%A0%B4/data=!4m7!3m6!1s0x3442a94f96ea0293:0xc4b33b89894134eb!8m2!3d25.0687094!4d121.5240239!16s%2Fg%2F11gfj5nf8t!19sChIJkwLqlk-pQjQR6zRBiYk7s8Q?authuser=0&hl=zh-TW&rclk=1,舞蝶共融遊戲場,4.5,"(2,505)",旅遊景點,·,,·,中山北路三段181號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3_g36mstB6suIxf6bOnkOSvdPo6aJ2lir4cnX5lRrRHgwV6D1Sg_-olAB6J6TkCUphyO0LCsA_AUiHUK66r26di5mArOGW3JkyucUSEUqUXBUiM1lBQAJh6sQDJlUjxjzTg3l=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""設施開始年久失修，",溜滑梯,"週遭的人工草皮超滑。""",廣闊的戶外兒童遊樂場,,,,
,,,,https://www.google.com/maps/place/%E5%A4%A7%E6%BA%AA%E5%9F%94%E9%A0%82%E5%85%AC%E5%9C%92%EF%BC%88%E6%B2%99%E5%9D%91%E3%80%81%E6%BA%9C%E7%B4%A2%EF%BC%89/data=!4m7!3m6!1s0x346819ad42470361:0x9951debd4780ea6a!8m2!3d24.907718!4d121.280655!16s%2Fg%2F11sqh72m3t!19sChIJYQNHQq0ZaDQRauqAR73eUZk?authuser=0&hl=zh-TW&rclk=1,大溪埔頂公園（沙坑、溜索）,4.6,(158),公園,·,,·,仁善六街,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMN9UwSPHFiAVY2dZgQA3Dkt-81wNIhVdN2KT5BmXsx_eUGRodbl5o8aMjFAWTAIxTHcLzuHongkwPBxlAWbx9aZ7hApNkgCdNygNoufSBRaPknsdi__5Ym_KRLZdDwZlA65ni=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""滾輪",溜滑梯,"屁股痛痛，後來改蹲著比較滑，但是要小心結束的地方突然停止容易跌倒""",,,,,
,,,,https://www.google.com/maps/place/%E4%B8%89%E5%B3%BD%E4%B8%AD%E5%B1%B1%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x34681bf01b2fd5cd:0xa8e674bbb23384ae!8m2!3d24.9350547!4d121.3666934!16s%2Fg%2F1vntgn15!19sChIJzdUvG_AbaDQRroQzsrt05qg?authuser=0&hl=zh-TW&rclk=1,三峽中山公園,4.1,(708),公園,·,,中山路79號,,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzG_4sC3cWcXqX8ZcAvzosFB1gs4V-zPn6PTBlIxqjhmMgxUo4Rw7uFqDSw4-d718M7xa-BXZcC7AZE655jZCEHqolHOX6YGPYih2T0cFY74pCLZBfKKOrLZnCdrB1uSU1cYUOm-Q=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",溜滑梯,"一樣好玩；但有幾樣設施毀壞未修繕""",,,,,
